DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
08/01/2015,12:30,,,40.6491195,-73.8373865,"(40.6491195, -73.8373865)",,,PARKING LOT 165-02 CROSS BAY BOULEVARD,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3269831,SPORT UTILITY / STATION WAGON,BICYCLE,,,
08/01/2015,3:32,MANHATTAN,10023,40.7780962,-73.9782926,"(40.7780962, -73.9782926)",WEST 73 STREET,COLUMBUS AVENUE,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3268910,TAXI,BICYCLE,,,
08/01/2015,19:15,QUEENS,11433,40.7041862,-73.7859795,"(40.7041862, -73.7859795)",172 STREET,LIBERTY AVENUE,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Passenger Distraction,,,,3269769,SPORT UTILITY / STATION WAGON,BICYCLE,,,
08/01/2015,17:25,BRONX,10472,40.832389,-73.8645648,"(40.832389, -73.8645648)",WESTCHESTER AVENUE,THIERIOT AVENUE,,1,0,0,0,1,0,0,0,Lost Consciousness,Driver Inattention/Distraction,,,,3269494,BICYCLE,,,,
08/01/2015,16:30,BRONX,10457,40.8544772,-73.9012465,"(40.8544772, -73.9012465)",ANTHONY AVENUE,EAST 181 STREET,,1,0,0,0,1,0,0,0,Passenger Distraction,Unspecified,,,,3269510,SPORT UTILITY / STATION WAGON,BICYCLE,,,
08/01/2015,16:20,BRONX,10456,40.8302605,-73.9148512,"(40.8302605, -73.9148512)",EAST 166 STREET,COLLEGE AVENUE,,1,0,0,0,1,0,0,0,Other Vehicular,Passenger Distraction,,,,3288737,UNKNOWN,BICYCLE,,,
08/01/2015,16:02,QUEENS,11691,40.6049786,-73.7544185,"(40.6049786, -73.7544185)",REDFERN AVENUE,MOTT AVENUE,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3269188,OTHER,BICYCLE,,,
08/01/2015,14:30,MANHATTAN,10128,40.7788056,-73.9479659,"(40.7788056, -73.9479659)",EAST 89 STREET,1 AVENUE,,1,0,0,0,1,0,0,0,Other Vehicular,Turning Improperly,,,,3268905,SPORT UTILITY / STATION WAGON,BICYCLE,,,
08/01/2015,13:40,MANHATTAN,10013,40.7191272,-74.0051659,"(40.7191272, -74.0051659)",AVENUE OF THE AMERICAS,WHITE STREET,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3268805,PASSENGER VEHICLE,BICYCLE,,,
08/01/2015,13:05,QUEENS,11372,40.7550297,-73.8726917,"(40.7550297, -73.8726917)",34 AVENUE,JUNCTION BOULEVARD,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3270636,PASSENGER VEHICLE,BICYCLE,,,
