fac_type,lic_num,park_num,X,Y
Parking Garage,469220,49,-74.02569767,40.62669903
Parking Garage,469247,175,-73.98812014,40.7392365
Parking Lot,469264,22,-73.88697499,40.85310687
Parking Lot,469319,25,-73.98057065,40.75011548
Parking Garage,469348,53,-73.96011525,40.76699857
Parking Garage,469373,70,-73.95918394,40.76920533
Parking Garage,469374,101,-73.96995047,40.75954299
Parking Lot,469417,75,-73.86661258,40.85080032
Parking Garage,469442,60,-74.17881816,40.56361333
Parking Garage,469448,291,-73.96048597,40.81243228
Parking Garage,469457,240,-74.00694295,40.73513559
Parking Lot,469511,41,-73.98682239,40.7641933
Parking Garage,469515,38,-73.96492663,40.75314901
Parking Lot,469518,149,-73.9966915,40.75684077
Parking Garage,469552,55,-73.98887215,40.73194395
Parking Lot,469630,85,-73.99735736,40.72067084
Parking Lot,469667,25,-73.88597199,40.85300152
Parking Lot,469708,48,-73.88385689,40.85529758
Parking Garage,469741,56,-74.02519694,40.64210653
Parking Garage,469761,60,-73.95742628,40.76840151
Parking Garage,469779,49,-73.96020519,40.78180141
Parking Garage,469813,54,-73.96263088,40.7697272
Parking Garage,469824,90,-73.9690878,40.75759687
Parking Garage,469866,39,-73.95918394,40.76920533
Parking Garage,469882,178,-74.00707785,40.70582669
Parking Garage,469935,50,-73.96291981,40.76248675
Parking Lot,469964,42,-73.92970306,40.82641524
Parking Lot,469965,225,-73.92970306,40.82641524
Parking Lot,469978,20,-73.91286311,40.84499749
Parking Garage,691393,114,-73.96557442,40.79295822
Parking Lot,691929,10,-73.89427479,40.870779
Parking Garage,692051,146,-73.95286173,40.77838554
Parking Garage,692569,1361,-73.82821547,40.87834746
Parking Garage,692570,1361,-73.82473898,40.87768367
Parking Garage,692571,1361,-73.83054421,40.86923003
Parking Garage,692572,1361,-73.82649087,40.87295206
Parking Garage,692573,1311,-73.82706857,40.87414234
Parking Lot,693530,50,-73.92349502,40.8638965
Parking Garage,694550,225,-73.98986055,40.75934683
Parking Garage,695802,1361,-73.82146356,40.86133867
Parking Garage,695803,1311,-73.82340951,40.86563434
Parking Garage,695804,1361,-73.82634317,40.86961382
Parking Lot,696143,10,-73.8884967,40.87516305
Parking Lot,696486,92,-73.9968863,40.75025902
Parking Garage,697253,140,-73.97608877,40.76300281
Parking Garage,699003,350,-73.94403228,40.79161072
Parking Garage,699244,61,-73.96207662,40.77372883
Parking Lot,699282,14,-73.94715978,40.72825312
Parking Garage,699352,150,-73.95918394,40.76920533
Parking Lot,699505,40,-73.98967889,40.75967381
Parking Garage,731368,55,-73.97823299,40.74524297
Parking Garage,731394,300,-73.97651889,40.74795093
Parking Lot,733100,44,-73.87960388,40.87575736
Parking Garage,733235,220,-73.95062815,40.78177
Parking Lot,734552,22,-73.90396112,40.85093214
Parking Garage,735058,150,-73.9607178,40.76807776
Parking Lot,735430,171,-74.0778862,40.64404362
Parking Garage,735702,175,-73.95447255,40.81892879
Parking Garage,736176,90,-73.966539,40.78362557
Parking Garage,736268,104,-73.95062815,40.78177
Parking Lot,738230,44,-73.96259831,40.76073649
Parking Garage,760802,1000,-73.94403228,40.79161072
Parking Lot,760927,25,-73.88765566,40.85690734
Parking Garage,761016,106,-74.17875884,40.56343272
Parking Garage,761544,178,-73.96790761,40.75791309
Parking Garage,763733,73,-73.96668942,40.75733196
Parking Lot,764919,22,-73.88813744,40.85645036
Parking Lot,765883,12,-74.008889,40.72124219
Parking Garage,766654,300,-74.02486334,40.64007098
Parking Garage,766695,58,-73.97099741,40.78309011
Parking Lot,767674,56,-73.80979666,40.70119265
Parking Garage,769326,112,-73.95062815,40.78177
Parking Garage,769937,107,-73.99134865,40.76533997
Parking Garage,780839,181,-73.99213662,40.76427644
Parking Garage,782517,123,-73.97823299,40.74524297
Parking Garage,784363,410,-73.8723789,40.76341327
Parking Lot,787501,14,-73.99218531,40.68333554
Parking Garage,788455,83,-73.966539,40.78362557
Parking Garage,789927,125,-74.02355323,40.62635902
Garage - Parking Lot Combo,800489,582,-73.8462843,40.72070726
Parking Lot,800582,31,-73.8462843,40.72070726
Parking Lot,800698,35,-73.97823299,40.74524297
Parking Garage,801652,86,-73.9892353,40.74053152
Parking Lot,808036,30,-73.96676754,40.68305133
Parking Garage,808709,80,-73.97303107,40.7444233
Parking Lot,811361,22,-73.97280315,40.64553505
Parking Garage,811933,69,-73.9562304,40.7704248
Parking Lot,812452,99,-73.95018525,40.72265361
Parking Garage,812525,250,-73.95440715,40.765465
Parking Garage,813195,220,-73.98539029,40.75868277
Parking Garage,813280,130,-73.95286672,40.76647696
Parking Garage,813398,125,-73.98555707,40.77041599
Parking Lot,816312,175,-73.93166325,40.76169979
Parking Garage,816759,90,-73.95033105,40.78377231
Parking Garage,817003,158,-73.97994336,40.77453614
Parking Garage,818101,101,-73.97080869,40.78841478
Parking Garage,818314,100,-74.02403019,40.6404967
Parking Lot,819194,56,-73.86275262,40.89708713
Parking Garage,819247,107,-73.97750814,40.7861901
Parking Garage,831026,175,-73.95454748,40.76552249
Garage - Parking Lot Combo,831034,36,-73.91041709,40.88370998
Parking Lot,832169,13,-73.8462843,40.72070726
Parking Garage,832475,15,-73.92537444,40.86690425
Parking Garage,834487,117,-73.99343656,40.73678971
Parking Garage,835198,49,-73.792821,40.71311535
Parking Garage,835271,26,-73.97391085,40.76014574
Parking Lot,836347,14,-73.88591784,40.85310732
Parking Garage,838371,77,-73.97186939,40.79380736
Parking Garage,850402,124,-73.966539,40.78362557
Parking Garage,851958,61,-73.98305696,40.76301457
Parking Garage,851982,105,-73.97958862,40.76441652
Parking Lot,852507,25,-73.86863188,40.85551717
Parking Lot,854269,12,-73.93866903,40.74570245
Parking Garage,855640,43,-73.98173496,40.77694507
Parking Garage,856466,20,-73.91556568,40.87114208
Parking Garage,858490,100,-73.98986055,40.75934683
Parking Garage,858712,375,-73.97994336,40.77453614
Parking Garage,859390,77,-73.96410824,40.80475211
Parking Garage,881098,87,-73.95803556,40.76370168
Parking Lot,881123,139,-73.8723789,40.76341327
Garage - Parking Lot Combo,881522,160,-73.96061585,40.67867732
Parking Lot,882717,350,-73.99680722,40.76274101
Parking Garage,883259,70,-73.97188361,40.67304102
Parking Garage,883451,195,-73.97907186,40.77251816
Parking Garage,883452,301,-73.95062815,40.78177
Parking Garage,883454,109,-73.95062815,40.78177
Parking Garage,883497,245,-73.84532823,40.8458799
Parking Garage,883898,94,-73.99906237,40.73933509
Parking Garage,884653,265,-73.98718268,40.7710674
Parking Garage,886174,127,-73.8462843,40.72070726
Parking Lot,886406,29,-73.9873317,40.73811193
Parking Lot,887259,130,-73.98992087,40.69467826
Parking Lot,887261,50,-73.982479,40.6935947
Parking Lot,887551,25,-73.93820351,40.83806123
Parking Garage,888159,268,-73.95918394,40.76920533
Parking Garage,888338,108,-73.97311175,40.7485573
Parking Garage,888537,56,-73.95064068,40.777446
Parking Garage,888851,48,-73.96129265,40.65138049
Parking Garage,889309,178,-73.82719028,40.76862022
Parking Garage,889341,235,-73.99896597,40.72924503
Parking Lot,889631,200,-73.94749728,40.63055478
Parking Garage,889934,91,-73.96015123,40.76293363
Parking Lot,890610,30,-73.91425984,40.69749515
Parking Garage,891228,25,-73.95083676,40.7221381
Parking Garage,891578,260,-73.95496214,40.77074874
Parking Garage,892164,124,-73.94709077,40.78251563
Parking Garage,892366,33,-73.97874921,40.74431767
Parking Lot,892932,160,-73.9968863,40.75025902
Parking Lot,894142,57,-73.89699561,40.86794066
Parking Lot,894307,50,-73.99468753,40.6246951
Parking Garage,894438,58,-73.98643048,40.73620501
Parking Lot,895134,99,-73.99649309,40.67744839
Parking Lot,896443,115,-73.90688266,40.84269572
Parking Lot,896444,240,-73.90295729,40.8320962
Parking Lot,896736,150,-73.90423272,40.82968515
Parking Garage,896827,100,-74.01067717,40.71393528
Parking Garage,897040,77,-73.95473731,40.76727736
Parking Lot,897188,117,-73.88581945,40.86591837
Parking Garage,897530,65,-73.97006176,40.76131485
Parking Lot,897920,38,-74.000969,40.60401181
Parking Garage,898031,82,-73.99814642,40.75326084
Parking Garage,898076,862,-73.8801699,40.87979148
Parking Garage,898077,662,-73.87793647,40.87960952
Parking Garage,898215,421,-73.8462843,40.72070726
Parking Garage,898706,30,-73.91923162,40.83815858
Parking Garage,899288,150,-73.90926228,40.84570907
Garage - Parking Lot Combo,899470,64,-73.91039472,40.8431722
Garage - Parking Lot Combo,899744,36,-73.98289846,40.73914078
Garage - Parking Lot Combo,900020,150,-73.9688563,40.76988224
Parking Garage,900505,98,-73.99811161,40.73616082
Parking Garage,900653,195,-73.98251226,40.7648365
Parking Lot,900877,77,-73.9966915,40.75684077
Parking Garage,901085,320,-73.97994336,40.77453614
Parking Garage,901086,411,-74.17865861,40.56329241
Parking Garage,901087,445,-74.17866631,40.56333202
Parking Garage,901088,163,-74.17874328,40.5633527
Parking Lot,901401,35,-73.95809719,40.73269148
Parking Garage,901540,75,-73.96372581,40.79685013
Parking Garage,901637,225,-74.00374137,40.72073744
Parking Lot,901734,42,-73.96919479,40.75389148
Parking Garage,901963,114,-73.94749777,40.77860882
Parking Lot,902515,28,-73.99949872,40.71719506
Parking Lot,902630,100,-73.88334858,40.70122489
Parking Garage,903997,150,-73.96974037,40.76209592
Garage - Parking Lot Combo,904077,259,-73.8723789,40.76341327
Garage - Parking Lot Combo,904133,294,-73.96183952,40.7587615
Parking Lot,904395,185,-73.99677673,40.76348665
Parking Garage,904481,150,-73.99663672,40.7170772
Parking Garage,904543,285,-73.99333621,40.73414634
Parking Lot,904670,310,-73.9763127,40.57754579
Parking Garage,905127,176,-73.97712143,40.77672024
Parking Garage,905554,150,-73.92443397,40.81520833
Parking Garage,906120,51,-73.968162,40.75392887
Parking Lot,906199,54,-73.92253739,40.83930057
Parking Garage,906410,40,-73.99785905,40.73602569
Parking Garage,906438,200,-73.96389291,40.81133571
Parking Garage,906639,65,-73.91619761,40.85214981
Parking Garage,907146,150,-73.7753069,40.67694526
Parking Garage,908174,150,-73.988156,40.7481998
Parking Lot,908352,50,-73.99615,40.7121312
Parking Garage,908745,113,-74.03533568,40.63170723
Parking Lot,909273,85,-73.9968863,40.75025902
Parking Lot,909797,100,-73.88361255,40.75163074
Parking Lot,910018,40,-73.95663232,40.74626131
Parking Lot,910347,125,-73.97823299,40.74524297
Parking Lot,911193,63,-73.91457498,40.82865598
Parking Garage,912083,268,-73.95616257,40.78305296
Parking Garage,912191,90,-73.94657146,40.78402274
Parking Garage,912341,205,-73.98723881,40.76195337
Parking Garage,913526,115,-73.95303032,40.77589465
Parking Garage,913566,95,-73.92111307,40.82651281
Parking Garage,914278,125,-73.96372581,40.79685013
Parking Garage,914923,328,-73.96809182,40.75863022
Parking Lot,915103,75,-74.008889,40.72124219
Parking Garage,915987,34,-73.96952612,40.75205728
Parking Garage,916698,126,-73.97297648,40.75245653
Parking Lot,916760,29,-73.89832419,40.84579837
Parking Garage,916798,78,-73.95551972,40.78034451
Parking Garage,916799,103,-73.9728012,40.7517509
Parking Garage,917447,70,-73.98417212,40.73528848
Parking Garage,917493,600,-73.96408126,40.80146059
Parking Lot,918267,20,-73.95719199,40.64066939
Parking Garage,919699,200,-73.98559305,40.74556773
Parking Garage,919735,121,-73.8462843,40.72070726
Parking Garage,919848,450,-73.95114705,40.67260539
Parking Lot,920084,81,-74.00484544,40.74793682
Parking Garage,920557,26,-73.97141074,40.75282525
Parking Garage,920608,278,-73.9802266,40.78059685
Parking Garage,921085,95,-73.86773556,40.8524618
Parking Garage,921240,180,-73.95950241,40.67283474
Parking Garage,921454,80,-73.98235549,40.7852638
Parking Garage,921582,97,-74.00750324,40.7330213
Parking Garage,921898,72,-74.02542694,40.62660124
Parking Garage,921899,114,-73.94921547,40.77305101
Parking Lot,922578,42,-74.0053014,40.71908997
Parking Lot,922831,74,-73.91568306,40.81637583
Parking Lot,923714,40,-73.99252625,40.76897527
Parking Garage,924101,21,-73.98010718,40.74987548
Parking Lot,924211,35,-74.0013132,40.71808444
Parking Lot,924435,38,-73.99789641,40.72553802
Parking Garage,924489,169,-73.99286856,40.73078287
Parking Lot,925245,150,-73.99563892,40.71289925
Parking Lot,925684,36,-74.008889,40.72124219
Parking Lot,925848,63,-74.00649919,40.72570424
Parking Garage,926039,180,-74.00366043,40.71727506
Parking Lot,926190,17,-73.97942777,40.57948583
Parking Lot,926484,150,-73.93866903,40.74570245
Parking Lot,926752,98,-74.00822715,40.71799213
Parking Lot,926755,67,-73.99338828,40.72746615
Parking Lot,926756,131,-73.99463134,40.747802
Parking Lot,926757,93,-73.99938293,40.7186457
Parking Lot,926760,60,-73.99313309,40.72707025
Parking Lot,926761,182,-73.9873737,40.72196052
Parking Lot,926763,72,-74.00506397,40.70604898
Parking Lot,926765,100,-73.98773115,40.69037315
Parking Lot,926767,150,-73.98694807,40.69813437
Parking Garage,927031,70,-73.95996353,40.7728942
Parking Garage,927032,37,-74.03238326,40.63093933
Parking Lot,927315,158,-73.9966915,40.75684077
Parking Lot,927409,56,-73.88361255,40.75163074
Parking Garage,927638,200,-74.03200059,40.63090591
Parking Lot,927659,125,-73.74679789,40.77239842
Parking Garage,928832,188,-73.96295711,40.80016557
Parking Garage,928867,125,-73.8462843,40.72070726
Parking Garage,928927,135,-73.94595093,40.77959807
Parking Lot,929555,8,-73.852449,40.83745075
Parking Garage,929603,65,-74.01060967,40.71133187
Parking Garage,929732,23,-74.00098329,40.68233304
Parking Garage,929734,23,-74.00127738,40.68241567
Parking Lot,930269,150,-73.96382047,40.67886241
Parking Garage,932155,84,-74.02259312,40.63970032
Parking Lot,936195,44,-73.91539434,40.81634897
Parking Garage,937560,92,-74.00298593,40.73813033
Parking Garage,941633,32,-73.96586196,40.76203415
Parking Lot,942362,50,-73.9174558,40.70257845
Parking Garage,942550,94,-73.82855612,40.70828608
Parking Lot,944416,11,-73.91342678,40.85278684
Parking Garage,945052,95,-73.86148085,40.72646492
Parking Garage,945081,475,-73.86148085,40.72646492
Parking Garage,945260,200,-73.86148085,40.72646492
Parking Garage,945780,255,-73.99084918,40.73144723
Parking Garage,947321,390,-73.87870895,40.88031656
Parking Garage,947353,98,-73.9665544,40.8025038
Garage - Parking Lot Combo,947720,126,-73.8462843,40.72070726
Parking Garage,948602,139,-73.88361255,40.75163074
Parking Lot,948686,30,-73.91267905,40.83519476
Parking Garage,948832,375,-74.17870866,40.56354984
Parking Lot,949204,100,-73.93866903,40.74570245
Parking Lot,949893,31,-73.98777109,40.67762263
Parking Lot,950394,50,-73.90051698,40.87862225
Parking Lot,952277,90,-73.98986055,40.75934683
Parking Lot,952279,256,-73.98986055,40.75934683
Parking Garage,953176,39,-73.99344976,40.72454171
Parking Garage,953178,47,-74.00213158,40.74027971
Garage - Parking Lot Combo,953645,30,-73.93804197,40.83778703
Parking Garage,954109,182,-73.97516091,40.78519185
Parking Garage,954111,182,-73.966539,40.78362557
Parking Lot,954225,42,-73.99431958,40.7154701
Parking Lot,954354,160,-73.86148085,40.72646492
Parking Lot,954355,262,-73.86148085,40.72646492
Parking Garage,954597,56,-74.01911251,40.68882783
Parking Garage,955232,87,-73.8462843,40.72070726
Parking Lot,955802,47,-73.93866903,40.74570245
Parking Garage,957484,77,-73.95516882,40.76496214
Parking Lot,957524,50,-73.90927864,40.8517735
Parking Lot,959009,90,-73.92333221,40.83772426
Parking Lot,959012,150,-73.85718258,40.84211896
Parking Garage,959098,57,-73.98204972,40.77555112
Parking Garage,959101,300,-73.98322783,40.75944427
Parking Lot,959232,185,-73.90420608,40.87953905
Parking Garage,959289,316,-73.96802015,40.75954748
Parking Garage,959355,200,-73.95740829,40.77771849
Parking Garage,959361,165,-73.96128437,40.77258336
Parking Garage,959388,134,-73.95802889,40.81642936
Parking Lot,959606,14,-73.85245339,40.83786544
Parking Garage,960635,294,-73.98508043,40.76936379
Parking Garage,961850,77,-74.17871251,40.56356964
Parking Garage,961988,665,-73.99162877,40.7495425
Parking Garage,961990,273,-73.98986055,40.75934683
Parking Garage,962008,210,-73.9918055,40.76761165
Parking Lot,962013,80,-73.9968863,40.75025902
Parking Garage,962029,546,-73.92761793,40.69128804
Parking Garage,962108,204,-73.97081745,40.78841182
Parking Garage,962109,148,-73.97520748,40.74446092
Parking Garage,962302,21,-73.9949242,40.72483239
Parking Lot,962316,30,-73.9273423,40.68442314
Parking Garage,962865,652,-73.9800744,40.75949851
Parking Garage,963093,165,-73.97968154,40.66555725
Parking Garage,963959,198,-73.99027851,40.76675575
Parking Lot,964023,133,-74.17877358,40.56365938
Parking Garage,964031,48,-73.99267878,40.7365308
Parking Garage,965328,900,-73.78226734,40.78070133
Garage - Parking Lot Combo,965331,900,-73.78226734,40.78070133
Parking Garage,965355,209,-73.9918055,40.76761165
Garage - Parking Lot Combo,966613,48,-73.98887215,40.73194395
Parking Garage,966973,220,-73.95918394,40.76920533
Parking Garage,968559,105,-73.99480128,40.74371177
Parking Garage,971313,149,-73.97336425,40.75448979
Parking Lot,972208,22,-73.792821,40.71311535
Parking Garage,972256,88,-73.95987152,40.75841662
Parking Garage,972262,150,-74.00464968,40.73433519
Parking Garage,973517,20,-73.9829396,40.66583529
Parking Garage,974364,200,-73.95905405,40.81682101
Parking Garage,974656,149,-73.98215404,40.66467753
Parking Lot,974657,99,-73.92169197,40.60885074
Parking Lot,975256,375,-73.92773225,40.61636867
Parking Lot,975257,670,-73.99789641,40.72553802
Parking Lot,975586,53,-73.98380989,40.69206973
Parking Garage,975588,95,-73.88479002,40.86260133
Parking Lot,976027,44,-73.95918394,40.76920533
Parking Garage,976075,131,-74.02192668,40.64204081
Parking Lot,976181,99,-73.9987861,40.75509155
Parking Garage,976183,155,-73.96960647,40.75202826
Parking Garage,976184,139,-73.96312879,40.76825175
Parking Garage,976776,495,-73.90896297,40.86447394
Parking Garage,976779,148,-73.792821,40.71311535
Parking Garage,976815,204,-73.792821,40.71311535
Parking Lot,976816,65,-73.792821,40.71311535
Parking Lot,976953,32,-73.99584503,40.75409821
Parking Lot,976955,122,-73.99701992,40.75460172
Parking Garage,977109,24,-73.96685118,40.77065881
Parking Garage,977117,116,-73.98583147,40.71612147
Parking Garage,978502,114,-73.96791396,40.79798417
Garage - Parking Lot Combo,979174,33,-73.96928654,40.69018202
Parking Lot,980378,96,-73.9688563,40.76988224
Parking Garage,980798,89,-73.8462843,40.72070726
Parking Garage,980801,100,-73.97231905,40.74540585
Parking Garage,981503,89,-74.00883429,40.71600618
Parking Garage,981738,55,-74.008889,40.72124219
Parking Garage,982918,124,-73.98673093,40.76333951
Parking Garage,983786,73,-73.96390376,40.77372105
Parking Garage,984363,75,-73.99612207,40.760751
Parking Lot,984596,85,-73.97354213,40.78969746
Parking Lot,986471,77,-73.97922883,40.68820257
Parking Lot,986565,200,-73.97994336,40.77453614
Parking Garage,992413,100,-73.88452787,40.86664856
Parking Garage,992903,165,-73.97326334,40.75239358
Parking Lot,993927,40,-73.9968863,40.75025902
Parking Lot,994343,33,-73.80979666,40.70119265
Parking Lot,994675,120,-73.98511746,40.76183843
Garage - Parking Lot Combo,995385,125,-73.93866903,40.74570245
Parking Lot,997485,51,-73.98350792,40.69077805
Parking Lot,997852,25,-73.90320697,40.85614331
Parking Garage,998154,130,-73.8462843,40.72070726
Parking Garage,998155,99,-73.8462843,40.72070726
